username,coin,weight
CryptoKaleo,BTC,86.05825
CryptoKaleo,TRX,58.02164
CryptoKaleo,BNB,50.07675
CryptoKaleo,BTT,15.04294
CryptoKaleo,LTC,37.59964
CryptoKaleo,XRP,23.27259
CryptoKaleo,DOGE,33.68346
CryptoKaleo,FTT,13.97487
CryptoKaleo,LINK,15.31552
CryptoKaleo,USD,9.73058
CryptoKaleo,ETH,10.50137
CryptoKaleo,SOL,9.15719
CryptoKaleo,ENJ,1.95973
CryptoKaleo,SC,5.78117
CryptoKaleo,ETC,6.26447
CryptoKaleo,DENT,2.34689
CryptoKaleo,SXP,1.8239
CryptoKaleo,XTZ,2.43531
CryptoKaleo,XVG,2.92369
CryptoKaleo,ADA,2.6571
CryptoKaleo,HOT,1.19128
CryptoKaleo,EOS,0.89772
CryptoKaleo,NEO,1.06356
CryptoKaleo,OMG,1.45277
CryptoKaleo,ZEC,1.88248
CryptoKaleo,ONE,0.92264
CryptoKaleo,CAKE,1.28181
CryptoKaleo,FOR,1.0822
CryptoKaleo,SRM,1.15134
CryptoKaleo,QTUM,0.55389
CryptoKaleo,EGLD,0.84171
CryptoKaleo,XLM,0.64322
CryptoKaleo,HNST,0.40541
CryptoKaleo,FIL,0.51414
CryptoKaleo,YFI,0.87302
CryptoKaleo,AVAX,0.31815
CryptoKaleo,CHZ,0.14231
CryptoKaleo,CAN,0.49286
CryptoKaleo,REN,0.47775
CryptoKaleo,BOT,0.29559
CryptoKaleo,IOTA,0.18253
CryptoKaleo,SUN,0.18027
CryptoKaleo,SUSHI,0.17974
CryptoKaleo,STRAX,0.13485
CryptoKaleo,RUNE,0.13339
CryptoKaleo,GO,0.12777
CryptoKaleo,CRV,0.11419
CryptoKaleo,LINA,0.1029
CryptoKaleo,USDT,0.10289
CryptoKaleo,NPXS,0.08344
CryptoKaleo,BAL,0.06168
CryptoKaleo,MKR,0.05544
